Category,Nominal Value,Target References,Manufacturer,MPN,Quantity,Distributor,Distributor Link,Datasheet,Fitted/DNP Status,PCBWay Assembly,Notes
RF tuning capacitor,1.5 pF,C73,KEMET,CBR04C159B5GAC,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/KEMET/CBR04C159B5GAC?qs=9Jcv%252B5Uo%2F3nGbtJizWExGw%3D%3D,https://yageogroup.com/content/datasheet/asset/file/KEM_C1030_CBR_SMD,TUNING SPARE - NOT FITTED,EXCLUDE,Stocked substitute for zero-stock Murata GJM; install only after VNA measurement.
RF tuning capacitor,2.0 pF,C73,Murata Electronics,GJM1555C1H2R0BB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H2R0BB01D?qs=fOe5G3t%252BQHqBllXqhVoZLQ%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,3.0 pF,C70,Murata Electronics,GJM1555C1H3R0BB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H3R0BB01D?qs=fOe5G3t%252BQHoZjxUrLCJNQQ%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,3.6 pF,C70,Murata Electronics,GJM1555C1H3R6BB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H3R6BB01D?qs=nTDll3UaDK7KDQg2dCGL%2FA%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,4.3 pF,C67; C75,Murata Electronics,GJM1555C1H4R3BB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H4R3BB01D?qs=HXqoGf9WMLlYBmXhCSm8Pw%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,5.1 pF,C67; C74; C75,Murata Electronics,GJM1555C1H5R1BB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H5R1BB01D?qs=YLLXL5qGyDsC0ZZVCZbXgA%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,6.2 pF,C74,Murata Electronics,GJM1555C1H6R2BB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H6R2BB01D?qs=YLLXL5qGyDvhpxKzxtJmFw%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,8.2 pF,C72,KEMET,CBR04C829B5GAC,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/KEMET/CBR04C829B5GAC?qs=XxWtqqdu%2F9EwUuiUKbh2jA%3D%3D,https://yageogroup.com/content/datasheet/asset/file/KEM_C1030_CBR_SMD,TUNING SPARE - NOT FITTED,EXCLUDE,Stocked substitute for zero-stock Murata GJM; install only after VNA measurement.
RF tuning capacitor,10 pF,C71; C72,Murata Electronics,GJM1555C1H100JB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H100JB01D?qs=a%252BFIGJKJg8sEAdLKXS3lYw%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,12 pF,C69; C71,Murata Electronics,GJM1555C1H120JB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H120JB01D?qs=a0pwrXwGaniuQ%252BK%2F3jn%2F%2Fw%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
RF tuning capacitor,13 pF,C68,Murata Electronics,GJM1555C1H130JB01D,10,Mouser,https://www.mouser.co.uk/en/ProductDetail/Murata-Electronics/GJM1555C1H130JB01D?qs=p6VZ%252BklCkRQOKU4cxUcomw%3D%3D,https://www.murata.com/en-eu/products/capacitor/ceramiccapacitor/overview/lineup/smd/gjm,TUNING SPARE - NOT FITTED,EXCLUDE,Install only after VNA measurement.
